year,classification,hs_or_sitc_code,commodity,qty,qty_unit_code,net_weight_kg,value_usd
1975,S1,341,gas_natural_manufactured,560972968.0,8,560972968.0,64238718.0
1981,S1,341,gas_natural_manufactured,649987904.0,8,649987904.0,163243440.0
1982,S1,341,gas_natural_manufactured,1367616640.0,8,1367616640.0,332849248.0
1983,S1,341,gas_natural_manufactured,1508630400.0,8,1508630400.0,398726496.0
1984,S1,341,gas_natural_manufactured,1440942976.0,8,1440942976.0,330038368.0
1985,S1,341,gas_natural_manufactured,1609469184.0,8,1609469184.0,343237056.0
1986,S1,341,gas_natural_manufactured,1687093504.0,8,1687093504.0,198908352.0
1987,S1,341,gas_natural_manufactured,1413728512.0,8,1413728512.0,173473744.0
1963,S1,281,iron_ore_concentrates,0.0,-1,,660877.0
1964,S1,281,iron_ore_concentrates,0.0,-1,,439307.0
1965,S1,281,iron_ore_concentrates,0.0,-1,,1874735.0
1966,S1,281,iron_ore_concentrates,1996060928.0,8,1996060928.0,18366372.0
1967,S1,281,iron_ore_concentrates,9117378649.0,8,9117378649.0,83754241.0
1968,S1,281,iron_ore_concentrates,16337579435.0,8,16337579435.0,156843295.0
1969,S1,281,iron_ore_concentrates,26861685510.0,8,26861685510.0,257377456.0
1970,S1,281,iron_ore_concentrates,41201505555.0,8,41201505555.0,363866364.0
1971,S1,281,iron_ore_concentrates,53628213470.0,8,53628213470.0,458651095.0
1972,S1,281,iron_ore_concentrates,54080034466.0,8,54080034466.0,469042071.0
1973,S1,281,iron_ore_concentrates,74075262000.0,8,74075262000.0,650496110.0
1974,S1,281,iron_ore_concentrates,83672602000.0,8,83672602000.0,843722103.0
1975,S1,281,iron_ore_concentrates,80263721000.0,8,80263721000.0,979411533.0
1976,S1,281,iron_ore_concentrates,81391067000.0,8,81391067000.0,1019184368.0
1977,S1,281,iron_ore_concentrates,78888878000.0,8,78888878000.0,1048174268.0
1978,S1,281,iron_ore_concentrates,75264523000.0,8,75264523000.0,1039884875.0
1979,S1,281,iron_ore_concentrates,78379826000.0,8,78379826000.0,1126094580.0
1980,S1,281,iron_ore_concentrates,80376045568.0,8,80376045568.0,1305741312.0
1981,S1,281,iron_ore_concentrates,74266271744.0,8,74266271744.0,1331483648.0
1982,S1,281,iron_ore_concentrates,78183227392.0,8,78183227392.0,1531678208.0
1983,S1,281,iron_ore_concentrates,76507480064.0,8,76507480064.0,1419296256.0
1984,S1,281,iron_ore_concentrates,88829943808.0,8,88829943808.0,1416552320.0
1985,S1,281,iron_ore_concentrates,88279957504.0,8,88279957504.0,1407864192.0
1986,S1,281,iron_ore_concentrates,82734620672.0,8,82734620672.0,1293688576.0
1987,S1,281,iron_ore_concentrates,81550704640.0,8,81550704640.0,1183800960.0
