year,quarter,mineral,expenditure_aud_million
2004,1,all_minerals,167.3
2004,1,coal,13.7
2004,1,gold,91.2
2004,1,iron_ore,13.8
2004,1,uranium,1.3
2004,2,all_minerals,240.2
2004,2,coal,23.8
2004,2,gold,116.1
2004,2,iron_ore,19.2
2004,2,uranium,2.8
2004,3,all_minerals,251.1
2004,3,coal,27.4
2004,3,gold,109.9
2004,3,iron_ore,29.8
2004,3,uranium,6.1
2004,4,all_minerals,260.8
2004,4,coal,32.0
2004,4,gold,96.8
2004,4,iron_ore,35.1
2004,4,uranium,4.6
2005,1,all_minerals,225.8
2005,1,coal,29.8
2005,1,gold,81.9
2005,1,iron_ore,27.3
2005,1,uranium,3.2
2005,2,all_minerals,290.7
2005,2,coal,37.6
2005,2,gold,103.1
2005,2,iron_ore,45.7
2005,2,uranium,6.8
2005,3,all_minerals,292.0
2005,3,coal,32.2
2005,3,gold,100.0
2005,3,iron_ore,36.3
2005,3,uranium,11.9
2005,4,all_minerals,327.6
2005,4,coal,46.0
2005,4,gold,99.1
2005,4,iron_ore,42.9
2005,4,uranium,15.8
2006,1,all_minerals,263.7
2006,1,coal,41.5
2006,1,gold,90.0
2006,1,iron_ore,32.4
2006,1,uranium,10.1
2006,2,all_minerals,357.4
2006,2,coal,46.7
2006,2,gold,110.5
2006,2,iron_ore,49.7
2006,2,uranium,18.3
2006,3,all_minerals,394.6
2006,3,coal,50.5
2006,3,gold,104.3
2006,3,iron_ore,70.1
2006,3,uranium,24.7
2006,4,all_minerals,448.2
2006,4,coal,60.0
2006,4,gold,125.0
2006,4,iron_ore,72.5
2006,4,uranium,27.6
2007,1,all_minerals,369.3
2007,1,coal,38.8
2007,1,gold,103.6
2007,1,iron_ore,54.0
2007,1,uranium,24.3
2007,2,all_minerals,502.5
2007,2,coal,43.9
2007,2,gold,123.0
2007,2,iron_ore,88.8
2007,2,uranium,37.5
2007,3,all_minerals,563.4
2007,3,coal,50.1
2007,3,gold,129.6
2007,3,iron_ore,112.8
2007,3,uranium,50.0
2007,4,all_minerals,625.9
2007,4,coal,59.8
2007,4,gold,146.7
2007,4,iron_ore,98.5
2007,4,uranium,69.6
2008,1,all_minerals,544.0
2008,1,coal,54.1
2008,1,gold,142.4
2008,1,iron_ore,91.9
2008,1,uranium,49.2
2008,2,all_minerals,728.1
2008,2,coal,70.8
2008,2,gold,173.9
2008,2,iron_ore,146.6
2008,2,uranium,62.7
2008,3,all_minerals,687.7
2008,3,coal,68.5
2008,3,gold,133.2
2008,3,iron_ore,162.0
2008,3,uranium,56.7
2008,4,all_minerals,648.5
2008,4,coal,82.9
2008,4,gold,120.4
2008,4,iron_ore,182.5
2008,4,uranium,51.9
2009,1,all_minerals,403.5
2009,1,coal,69.2
2009,1,gold,85.6
2009,1,iron_ore,105.6
2009,1,uranium,27.7
2009,2,all_minerals,483.5
2009,2,coal,76.7
2009,2,gold,98.8
2009,2,iron_ore,138.6
2009,2,uranium,48.9
2009,3,all_minerals,557.4
2009,3,coal,82.1
2009,3,gold,133.4
2009,3,iron_ore,140.5
2009,3,uranium,53.9
2009,4,all_minerals,578.8
2009,4,coal,84.7
2009,4,gold,145.5
2009,4,iron_ore,136.5
2009,4,uranium,49.1
2010,1,all_minerals,459.3
2010,1,coal,60.4
2010,1,gold,130.8
2010,1,iron_ore,96.3
2010,1,uranium,23.7
2010,2,all_minerals,637.1
2010,2,coal,94.0
2010,2,gold,165.7
2010,2,iron_ore,150.8
2010,2,uranium,42.4
2010,3,all_minerals,669.4
2010,3,coal,85.1
2010,3,gold,160.3
2010,3,iron_ore,152.0
2010,3,uranium,58.6
2010,4,all_minerals,724.4
2010,4,coal,122.3
2010,4,gold,167.3
2010,4,iron_ore,154.2
2010,4,uranium,65.3
2011,1,all_minerals,650.1
2011,1,coal,109.6
2011,1,gold,146.4
2011,1,iron_ore,144.1
2011,1,uranium,43.4
