year,series_type,industry,value_oku_yen,value_usd_million
2020,flow,real_estate,234.02770087,219.1681034557033
2020,flow,rubber_leather,,
2020,flow,services,131.32530652,122.98680138602734
2020,flow,textile,,
2020,flow,total,16001.2550479,14985.254774208652
2020,flow,transport_equipment,,
2020,flow,transportation,-158.71770705,-148.63992044390335
2020,flow,wholesale_retail,762.25547993,713.856040391459
2021,flow,chemicals_pharma,408.05014256,371.4950314639475
2021,flow,communications,295.32002643,268.8638259559359
2021,flow,construction,-327.69881526,-298.34196582301524
2021,flow,electric_machinery,-62.26849221,-56.69017863255644
2021,flow,farming_forestry,2.465762,2.2448670793882006
2021,flow,finance_insurance,-981.11141969,-893.218699644938
2021,flow,fishery,4.14094155,3.7699759195193008
2021,flow,food,494.5522296,450.24784195193007
2021,flow,general_machinery,69.24894411,63.04528779133284
2021,flow,glass_ceramics,6.67,6.072469045884923
2021,flow,iron_metals,112.66299215,102.57009481973779
2021,flow,lumber_pulp,-157.83376395,-143.6942497723962
2021,flow,manufacturing_total,927.72468709,844.6146095138382
2021,flow,mining,5050.19449883,4597.773578687181
2021,flow,nonmanufacturing_total,4469.43579542,4069.042057010197
2021,flow,petroleum,-1.76066269,-1.6029339857975238
2021,flow,precision_machinery,,
2021,flow,real_estate,-3.63040633,-3.305176920975965
2021,flow,rubber_leather,,
2021,flow,services,-581.84391757,-529.7195170884924
2021,flow,textile,,
2021,flow,total,5397.16048251,4913.656666524035
2021,flow,transport_equipment,,
2021,flow,transportation,180.82359265,164.624538100874
2021,flow,wholesale_retail,791.28121333,720.3944039785142
2022,flow,chemicals_pharma,2195.825857,1669.8295490494297
2022,flow,communications,-16.45348022,-12.512152258555131
2022,flow,construction,-103.55125589,-78.74620219771863
2022,flow,electric_machinery,-18.80986186,-14.304077460076046
2022,flow,farming_forestry,35.70976161,27.15571225095057
2022,flow,finance_insurance,978.09549455,743.7988551711027
2022,flow,fishery,,
2022,flow,food,724.30208702,550.8000661749049
2022,flow,general_machinery,18.45998335,14.038010152091257
2022,flow,glass_ceramics,,
2022,flow,iron_metals,114.51682174,87.08503554372624
2022,flow,lumber_pulp,-54.42871119,-41.39065489733841
2022,flow,manufacturing_total,3006.94282436,2286.6485356349813
2022,flow,mining,9136.41234661,6947.842088676806
2022,flow,nonmanufacturing_total,10726.43828175,8156.987286501902
2022,flow,petroleum,-8.09828522,-6.158391802281368
2022,flow,precision_machinery,,
2022,flow,real_estate,281.59876219,214.143545391635
2022,flow,rubber_leather,,
2022,flow,services,132.98386478,101.12841428136882
2022,flow,textile,,
2022,flow,total,13733.38110611,10443.635822136883
2022,flow,transport_equipment,,
2022,flow,transportation,-7.21765206,-5.488708790874525
2022,flow,wholesale_retail,153.54123425,116.76139486692016
2023,flow,chemicals_pharma,630.98345642,449.1305120791515
2023,flow,communications,149.36857916,106.31972322585236
2023,flow,construction,131.80940839,93.82120321019288
2023,flow,electric_machinery,22.02165319,15.674890163000923
2023,flow,farming_forestry,-3.52511039,-2.509153954018079
2023,flow,finance_insurance,2021.64919594,1438.9986447006904
2023,flow,fishery,4.36496809,3.1069599900348774
2023,flow,food,4886.32318416,3478.057644074311
2023,flow,general_machinery,115.44813089,82.17533695636699
2023,flow,glass_ceramics,,
2023,flow,iron_metals,139.1861825,99.0719499608513
2023,flow,lumber_pulp,490.62510378,349.2242179372197
2023,flow,manufacturing_total,6343.8032098,4515.483813652218
2023,flow,mining,9105.00733875,6480.893543134742
2023,flow,nonmanufacturing_total,16774.96636298,11940.327683806676
2023,flow,petroleum,,
2023,flow,precision_machinery,,
2023,flow,real_estate,344.2639786,245.04518371414332
2023,flow,rubber_leather,,
2023,flow,services,323.14077878,230.0098076589081
2023,flow,textile,,
2023,flow,total,23118.76957278,16455.81149745889
2023,flow,transport_equipment,30.65069657,21.81699520962346
2023,flow,transportation,1604.46299489,1142.0478289486796
2023,flow,wholesale_retail,2279.20721274,1622.3270074311338
2024,flow,chemicals_pharma,456.33842759,301.29303287336586
2024,flow,communications,9800.30689084,6470.557831004885
2024,flow,construction,31.32959384,20.685061296712004
2024,flow,electric_machinery,7.60675789,5.022288320348607
2024,flow,farming_forestry,29.39819491,19.40987383467582
2024,flow,finance_insurance,-138.74092349,-91.60235275980456
2024,flow,fishery,,
2024,flow,food,974.12375731,643.1557885316254
2024,flow,general_machinery,105.5910477,69.71546791232008
2024,flow,glass_ceramics,,
2024,flow,iron_metals,174.82406544,115.42589821735112
2024,flow,lumber_pulp,39.03279377,25.77102454113297
2024,flow,manufacturing_total,1793.31598186,1184.0195311369337
2024,flow,mining,1965.7193751,1297.847203948237
2024,flow,nonmanufacturing_total,16332.16399228,10783.153302706985
2024,flow,petroleum,,
2024,flow,precision_machinery,,
2024,flow,real_estate,810.43280617,535.0804213455698
2024,flow,rubber_leather,,
2024,flow,services,97.03382289,64.06564300145251
2024,flow,textile,,
2024,flow,total,18125.47997414,11967.172833843917
2024,flow,transport_equipment,44.72519521,29.529377532021655
2024,flow,transportation,-41.11720897,-27.1472395153836
2024,flow,wholesale_retail,793.66393465,524.0089361217483
