project,commodity,year,first_export_year,years_since_first_export,equity_initial,equity_current,nameplate_mtpa,japanese_equity_pct,japanese_equity_change_flag,mtpa_production,japan_share_of_output_pct,first_jsm_spa_year,has_spa_through_2010,has_japanese_spa,spa_age_years,coal_australian_usd_per_mt,iron_ore_cfr_spot_usd_per_dmtu,lng_japan_usd_per_mmbtu,jpy_per_aud
Mount Newman,iron_ore,1981,1969,12,10,15,15.0,10,0,,,1969,1,1,12.0,53.62,28.09,6.03034143534,253.4269567644115
Mount Newman,iron_ore,1982,1969,13,10,15,15.0,10,0,,,1969,1,1,13.0,54.7675,32.5,6.05162239889,252.64839944956657
Mount Newman,iron_ore,1983,1969,14,10,15,15.0,10,0,,,1969,1,1,14.0,38.1875,29.0,5.54581574773,213.9715831267073
Mount Newman,iron_ore,1984,1969,15,10,15,15.0,10,0,,,1969,1,1,15.0,30.95833333333,26.15,5.23768078193,208.4409873073626
Mount Newman,iron_ore,1985,1969,16,10,15,15.0,10,0,,,1969,1,1,16.0,33.75,26.56,5.23,166.58751753169312
Mount Newman,iron_ore,1986,1969,17,10,15,15.0,10,0,,,1969,1,1,17.0,31.125,26.26,4.1,112.64889268558773
Mount Newman,iron_ore,1987,1969,18,10,15,15.0,10,0,,,1969,1,1,18.0,27.5,25.3,3.35,101.27399907574674
Mount Newman,iron_ore,1988,1969,19,10,15,15.0,10,0,,,1969,1,1,19.0,34.875,24.3,3.34,100.12566004075865
Mount Newman,iron_ore,1989,1969,20,10,15,15.0,10,0,,,1969,1,1,20.0,38.0,27.83,3.28,109.09756470442484
Mount Newman,iron_ore,1990,1969,21,10,15,15.0,10,0,,,1969,1,1,21.0,39.66666666667,32.5,3.64,113.02583544313649
Mount Newman,iron_ore,1991,1969,22,10,15,15.0,10,0,,,1969,1,1,22.0,39.66666666667,34.76,3.99,104.93168807412157
Mount Newman,iron_ore,1992,1969,23,10,15,15.0,10,0,,,1969,1,1,23.0,38.5625,33.1,3.59511258333,93.0132474243839
Mount Newman,iron_ore,1993,1969,24,10,15,15.0,10,0,,,1969,1,1,24.0,31.33333333333,29.09,3.50659875,75.61594619283333
Mount Newman,iron_ore,1994,1969,25,10,15,15.0,10,0,,,1969,1,1,25.0,32.3,26.47,3.18,74.72691907212626
Mount Newman,iron_ore,1995,1969,26,10,15,15.0,10,0,,,1969,1,1,26.0,39.37166666667,28.38,3.44916666667,69.72373101957639
Mount Newman,iron_ore,1996,1969,27,10,15,15.0,10,0,,,1969,1,1,27.0,38.07416666667,30.0,3.6675,85.1257359289861
Mount Newman,iron_ore,1997,1969,28,10,15,15.0,10,0,,,1969,1,1,28.0,35.09916666667,30.15,3.90833333333,89.79713406759785
Mount Newman,iron_ore,1998,1969,29,10,15,15.0,10,0,,,1969,1,1,29.0,29.23083333333,31.0,3.01916666667,82.23581521039262
Mount Newman,iron_ore,1999,1969,30,10,15,15.0,10,0,,,1969,1,1,30.0,25.89166666667,27.59,3.1375,73.49063195586955
Mount Newman,iron_ore,2000,1969,31,10,15,15.0,10,0,,,1969,1,1,31.0,26.25,28.79,4.7125,62.47903074318547
Mount Newman,iron_ore,2001,1969,32,10,15,15.0,10,0,,,1969,1,1,32.0,32.3125,30.03,4.63416666667,62.85625122029748
Mount Newman,iron_ore,2002,1969,33,10,15,15.0,10,0,,,1969,1,1,33.0,25.309375,29.31,4.28166666667,68.12483638380495
Mount Newman,iron_ore,2003,1969,34,10,15,15.0,10,0,,,1969,1,1,34.0,26.090625,31.95,4.73083333333,75.18801414043264
Mount Newman,iron_ore,2004,1969,35,10,15,15.0,10,0,,,1969,1,1,35.0,52.94791666667,37.9,5.1275,79.56783985811168
Mount Newman,iron_ore,2005,1969,36,10,15,15.0,10,0,,,1969,1,1,36.0,47.62090277778,65.0,5.99,84.16987872987151
Mount Newman,iron_ore,2006,1969,37,10,15,15.0,10,0,,,1969,1,1,37.0,49.08958333333,69.33333333333,7.075,87.57653437924084
Mount Newman,iron_ore,2007,1969,38,10,15,15.0,10,0,,,1969,1,1,38.0,65.733125,122.9875,7.68333333333,98.53254021548231
Mount Newman,iron_ore,2008,1969,39,10,15,15.0,10,0,,,1969,1,1,39.0,127.10416666667,155.99333333333,12.52666666667,86.69801411275519
Mount Newman,iron_ore,2009,1969,40,10,15,15.0,10,0,,,1969,1,1,40.0,71.84416666667,79.97916666667,8.93583333333,72.97684112597862
Mount Newman,iron_ore,2010,1969,41,10,15,15.0,15,0,,,1969,1,1,41.0,98.96604166667,145.86318542569,10.84833333333,80.5202138734196
Peak Downs (CQCA/BMA),coking_coal,1972,1972,0,15,50,8.0,15,0,8.0,,1972,1,1,0.0,9.6,10.33,,361.4800198281875
Peak Downs (CQCA/BMA),coking_coal,1973,1972,1,15,50,8.0,15,0,,,1972,1,1,1.0,11.48,10.33,,385.8774320346885
Peak Downs (CQCA/BMA),coking_coal,1974,1972,2,15,50,8.0,15,0,,,1972,1,1,2.0,16.89,13.38,,419.2576572901995
Peak Downs (CQCA/BMA),coking_coal,1975,1972,3,15,50,8.0,15,0,,,1972,1,1,3.0,26.84,17.3,,388.5307902185058
Peak Downs (CQCA/BMA),coking_coal,1976,1972,4,15,50,8.0,15,0,,,1972,1,1,4.0,27.16,22.72,,362.4077583833099
Peak Downs (CQCA/BMA),coking_coal,1977,1972,5,15,50,8.0,15,0,,,1972,1,1,5.0,28.67851851852,23.06,2.77116287282,297.7406928140977
Peak Downs (CQCA/BMA),coking_coal,1978,1972,6,15,50,8.0,15,0,,,1972,1,1,6.0,29.05865740741,21.45,3.03608084204,240.8738497381832
