Agencies,ProjID,ProjName,PrimTech,Lat,Long
ARENA,2012/PFD023,"2-S016: Uni Wollongong, Joseph Giorgio, Light-weight and flexible solid-state dye-sensitised solar cells",Solar PV,-34.405422,150.878403
ARENA,2012/PFD024,"3-F001: Robert Patterson, Colloidal nanoparticle solar cells: a route to low cost, high efficiency photovoltaics",Solar PV,-33.910275,151.22337
ARENA,2012/PFD025,"3-F003: Supriya Pillai, Plasmonic Rear Reflectors for Solar Cells",Solar PV,-33.910275,151.22337
ARENA,2012/PFD026,"3-F004: Wai Kean Yap, A pilot study on load control and optimisation for a remote area solar-diesel hybrid power system implementing AI smart grids",Hybrid,-12.371963,130.868834
ARENA,2012/PFD027,"3-F005: Fiacre Rougieux, Cost effective silicon solar cells using Upgraded-Metallurgical-Grade silicon",Solar PV,-35.274441,149.120405
ARENA,2012/PFD029,"3-S001: Uni of Newcastle, Mitchell Wilson, Cost effective industrial scale synthesis of regio regular poly-3-hexylthiophene using flow chemistry techniques",Solar PV,-32.925689,151.77792
ARENA,2012/PFD030,"3-S002: Swinburne Uni, Ben Ekman, Development of Hybrid Solar Thermal Reactors for Materials Processing",Solar Thermal,-37.822195,145.037707
ARENA,2012/PFD031,"4-F001: Wenxian Li, Oxide semiconductors for solar energy conversion: engineering of key performance-related properties",Solar PV,-33.750643,150.710639
ARENA,2012/PFD034,"4-F004: Benjamin Mashford, A highly efficient and stable photoluminescent nanocrystal ink for improved spectral response in Si Solar cells",Solar PV,-37.822195,145.037707
ARENA,2012/PFD035,"4-S002: UNSW, Clare Disney, Plasmonic light trapping for solar cells",Solar PV,-33.910275,151.22337
ARENA,2012/PFD036,"5-F002: Nguan Hwee Steven Tay, Dynamic PCM systems for high temperature thermal storage",Enabling,-34.810967,138.620623
ARENA,2012/PFD037,"5-F004: Rowan MacQueen, Ultrafast spectroscopy for third generation photovoltaics",Solar PV,-33.871592,151.208786
ARENA,2012/PFD039,"5-F006: Henner Kampwerth, Ultrafast PL-Spectroscopy for Solar Cell Characterisation",Solar PV,-33.910275,151.22337
ARENA,2012/PFD040,"5-F007: Andreas Fell, High efficiency very low thermal budget silicon solar cells by laser processing",Solar PV,-35.274441,149.120405
ARENA,2012/PFD041,"5-S002: UNSW, Jianshu Han - High efficiency mono-crystalline thin-Si solar cells",Solar PV,-33.910275,151.22337
ARENA,2012/PFD052,"6-F028: Binesh Puthen Veettil, Photothermal deflection spectroscopy: A turnkey solution",Solar PV,-33.910275,151.22337
ARENA,2012/PFD054,"6-S001: UNSW, Chao Shen, Power loss analysis via photoluminescence imaging (on silicon solar cells)",Solar PV,-33.910275,151.22337
ARENA,2012/PFD058,"6-S009: Uni Newcastle, Anthony Rawson, Modelling and applications of advanced thermal storage materials",Enabling,-32.925689,151.77792
ARENA,2012/PFD059,"6-S011: UNSW, Adrian Shi, Copper-Zinc-Tin-Sulfide (CTZS) thin-film solar cell on stell for BIPV application",Solar PV,-33.910275,151.22337
ARENA,2012/PFD061,"6-S018: UNSW, Andrew Danos, The role of spin in triplet-triplet annihilation upconversion",Solar PV,-33.868487,151.20699
ARENA,2012/PFD081,"1-URE002: CSIRO, Benjamin Duck, Work at US NREL on improving translation models for the predicting the energy yield of photovoltaic power systems",Solar PV,-32.884541,151.728686
